a52dec 0.7.4-9
acl 2.2.52-3
adwaita-icon-theme 3.22.0+1+g58cd459e-1
alsa-lib 1.1.3-1
alsa-plugins 1.1.1-1
alsa-utils 1.1.3-2
apr 1.5.2-1
apr-util 1.5.4-2
archlinux-keyring 20170104-1
aspell 0.60.6.1-5
at-spi2-atk 2.22.0-1
at-spi2-core 2.22.0-1
atk 2.22+1+gd57f97d-1
attr 2.4.47-2
autoconf 2.69-4
autoconf-archive 1:2016.09.16-1
automake 1.15-2
avahi 0.6.32-3
babl 0.1.18-1
bash 4.4.012-2
bc 1.06.95-3
binutils 2.27-1
bison 3.0.4-2
blas 3.7.0-1
bluez-libs 5.44-1
boost-libs 1.63.0-1
bzip2 1.0.6-6
c-ares 1.12.0-1
ca-certificates 20160507-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.29.1-1
ca-certificates-utils 20160507-1
cabal-install 1.24.0.0-5
cabextract 1.6-1
cairo 1.14.8-1
cairo-perl 1.106-2
cblas 3.7.0-1
cdparanoia 10.2-5
cdrtools 3.02a07-2
cifs-utils 6.5-1
clipit 1.4.3-1
clucene 2.3.3.4-9
cmake 3.7.2-1
colord 1.3.4-1
compositeproto 0.4.2-3
coreutils 8.26-1
cracklib 2.9.6-1
cryptsetup 1.7.3-1
cups 2.2.2-2
cups-filters 1.13.4-1
curl 7.53.1-1
cvs 1.11.23-11
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.16-1
dbus-glib 0.108-1
dcadec 0.2.0-1
dconf 0.26.0-2
desktop-file-utils 0.23-1
device-mapper 2.02.168-1
dhcpcd 6.11.5-1
dialog 1:1.3_20170131-1
diffutils 3.5-1
ding-libs 0.6.0-1
djvulibre 3.5.27-3
dmenu 4.6-1
dmxproto 2.3.1-3
dnssec-anchors 20150403-1
docbook-xml 4.5-6
docbook-xsl 1.79.1-2
dri2proto 2.8-2
dri3proto 1.0-1
e2fsprogs 1.43.4-1
enchant 1.6.1-1
eog 3.20.5-1
espeak 1:1.48.04-1
evince 3.22.1-1
exempi 2.4.2-1
exiv2 0.25-3
expat 2.2.0-2
faad2 2.7-4
fakeroot 1.21-2
feh 2.18.2-1
ffmpeg 1:3.2.4-1
ffmpeg2.8 2.8.11-1
fftw 3.3.6-1
file 5.30-1
filesystem 2016.12-2
findutils 4.6.0-2
