haskell-extensible-exceptions 0.1.1.4-14
haskell-mtl 2.2.1-6
haskell-old-locale 1.0.0.7-8
haskell-old-time 1.1.0.3-8
haskell-random 1.1-6
haskell-setlocale 1.0.0.3-3
haskell-utf8-string 1.0.1.1-2
haskell-x11 1.6.1.2-13
haskell-x11-xft 0.3.1-23
hdf5 1.10.0_patch1-1
hicolor-icon-theme 0.15-1
hspell 1.3-1
http-parser 2.7.1-1
hunspell 1.4.1-1
hwids 20160801-1
hyphen 2.8.8-1
iana-etc 20160927-1
ibus 1.5.14-1
ibus-unikey 0.6.1-4
icedtea-web 1.6.2-2
icu 57.1-1
idnkit 1.0-3
ijs 0.35-1
ilmbase 2.2.0-2
imagemagick 6.9.6.2-1
imlib2 1.4.9-1
inetutils 1.9.4-4
inputproto 2.3.2-1
intel-tbb 2017_20160916-1
intltool 0.51.0-1
ipcalc 0.41-5
iproute2 4.8.0-1
iptables 1.6.0-1
iputils 20160308.0db72a4-1
iso-codes 3.70-1
itstool 2.0.2+5+g676f3f7-2
jack 0.125.0-1
jade 1.2.1-12
jansson 2.9-1
jasper 1.900.5-1
java-environment-common 2-2
java-openjfx 8.u76-2
java-runtime-common 2-2
jbig2dec 0.13-1
jfsutils 1.1.15-4
jre8-openjdk 8.u112-1
jre8-openjdk-headless 8.u112-1
js17 17.0.0-3
json-c 0.12.1-1
json-glib 1.2.2+4+gd725fb5-1
jsoncpp 1.7.7-1
kbd 2.0.3-1
kbproto 1.0.7-1
keepassx 0.4.4-2
keyutils 1.5.9-1
kmod 23-1
krb5 1.13.4-1
lame 3.99.5-3
lbzip2 2.5-3
lcms 1.19-5
lcms2 2.8-1
ld-lsb 3-7
ldb 1.1.27-1
ldns 1.6.17-4
less 481-2
lib32-acl 2.2.52-2
lib32-alsa-lib 1.1.2-1
lib32-attr 2.4.47-1
lib32-bzip2 1.0.6-2
lib32-cairo-infinality-ultimate 1.14.6-2
lib32-dbus 1.10.12-1
lib32-expat 2.2.0-1
lib32-flac 1.3.1-2
lib32-fontconfig-infinality-ultimate 2.11.95-1
lib32-freetype2-infinality-ultimate 2.6.3-3
lib32-gcc-libs 6.2.1-1
lib32-gdk-pixbuf2 2.34.0-1
lib32-gettext 0.19.8.1-1
lib32-glib2 2.50.1-2
lib32-glibc 2.24-2
lib32-glu 9.0.0-3
lib32-harfbuzz 1.3.1-1
lib32-icu 57.1-1
lib32-json-c 0.12.1-1
lib32-lcms2 2.8-1
lib32-libasyncns 0.8+3+g68cd5af-1
lib32-libcap 2.25-1
lib32-libcroco 0.6.11-1
lib32-libdatrie 0.2.10-1
lib32-libdrm 2.4.71-1
lib32-libelf 0.167-1
lib32-libffi 3.2.1-1
lib32-libgcrypt 1.7.3-1
lib32-libgpg-error 1.24-1
lib32-libice 1.0.9-1
lib32-libidn 1.33-1
lib32-libjpeg-turbo 1.5.1-1
lib32-libmng 2.0.3-1
lib32-libnl 3.2.28-1
lib32-libogg 1.3.2-1
lib32-libpcap 1.7.4-1
lib32-libpciaccess 0.13.4-1
